|FPP|Entry
674|acuminarius|acuminarius, acuminaria, acuminarium adj
675|acuminatus|acuminatus, acuminata, acuminatum adj
676|acumino|acumino, acuminare, acuminavi, acuminatus v
677|acuna|acuna, acunae n
678|acuo|acuo, acuere, acui, acutus v
679|acupedius|acupedius, acupedia, acupedium adj
680|acupenser|acupenser, acupenseris n
681|acupensis|acupensis, acupensis n
682|acupictura|acupictura, acupicturae n
683|acupunctura|acupunctura, acupuncturae n
684|acus|acus, aceris n
685|acus|acus, acus n
686|acusticus|acusticus, acustica, acusticum adj
687|acutale|acutale adv
688|acutalis|acutalis, acutalis, acutale adj
689|acutarus|acutarus, acutara, acutarum adj
690|acutatus|acutatus, acutata, acutatum adj
691|acute|acute, acutius, acutissime adv
692|acutor|acutor, acutoris n
693|acutule|acutule adv
694|acutulus|acutulus, acutula, acutulum adj
695|acutus|acutus, acuta adj
696|acutus|acutus, acuta, acutum adj
697|acylos|acylos, acyli n
698|acyrologia|acyrologia, acyrologiae n
699|acysterium|acysterium, acysterii n
700|ad|ad adv
701|ad|ad prep
702|adactio|adactio, adactionis n
703|adactus|adactus, adactus n
704|adadunephros|adadunephros, adadunephri n
705|adaequate|adaequate adv
706|adaequatio|adaequatio, adaequationis n
707|adaequatus|adaequatus, adaequata, adaequatum adj
708|adaeque|adaeque adv
709|adaequo|adaequo, adaequare, adaequavi, adaequatus v
710|adaeratio|adaeratio, adaerationis n
711|adaero|adaero, adaerare, adaeravi, adaeratus v
712|adaestuo|adaestuo, adaestuare, adaestuavi, adaestuatus v
713|adaggero|adaggero, adaggerare, adaggeravi, adaggeratus v
714|adagio|adagio, adagionis n
715|adagium|adagium, adagii n
716|adagnitio|adagnitio, adagnitionis n
717|adalgidus|adalgidus, adalgida, adalgidum adj
718|adalligo|adalligo, adalligare, adalligavi, adalligatus v
719|Adam|Adam, Adae n
720|Adam|Adam, undeclined n
721|adamanteus|adamanteus, adamantea, adamanteum adj
722|adamantinus|adamantinus, adamantina, adamantinum adj
723|adamantis|adamantis, adamantidos/is n
724|adamas|adamas, adamantis n
725|adamator|adamator, adamatoris n
726|adambulo|adambulo, adambulare, adambulavi, adambulatus v
727|adamo|adamo, adamare, adamavi, adamatus v
728|adamplio|adamplio, adampliare, adampliavi, adampliatus v
729|Adamus|Adamus, Adami n
730|adamussim|adamussim adv
731|adapatio|adapatio, adapationis n
732|adaperio|adaperio, adaperere, adaperui, adapertus v
733|adaperio|adaperio, adaperire, adaperivi, adaperitus v
734|adapertilis|adapertilis, adapertilis, adapertile adj
735|adapertio|adapertio, adapertionis n
736|adapertivus|adapertivus, adapertiva, adapertivum adj
737|adaptertus|adaptertus, adapterta, adaptertum adj
738|adapto|adapto, adaptare, adaptavi, adaptatus v
739|adaquo|adaquo, adaquare, adaquavi, adaquatus v
740|adaquor|adaquor, adaquari, adaquatus v
741|adar|adar, undeclined n
742|adarca|adarca, adarcae n
743|adarce|adarce, adarces n
744|adaresco|adaresco, adarescere, adarecui, - v
745|adariarius|adariarius, adariaria, adariarium adj
746|adaro|adaro, adarare, adaravi, adaratus v
747|adaucto|adaucto, adauctare, adauctavi, adauctatus v
748|adauctor|adauctor, adauctoris n
749|adauctus|adauctus, adauctus n
750|adaugeo|adaugeo, adaugere, adauxi, adauctus v
751|adaugesco|adaugesco, adaugescere, -, - v
752|adaugmen|adaugmen, adaugminis n
753|adbello|adbello, adbellare, adbellavi, adbellatus v
754|adbibo|adbibo, adbibere, adbibi, - v
755|adbito|adbito, adbitere, -, - v
756|adblatero|adblatero, adblaterare, adblateravi, adblateratus v
757|adbreviatio|adbreviatio, adbreviationis n
758|adbreviator|adbreviator, adbreviatoris n
759|adbreviatus|adbreviatus, adbreviata, adbreviatum adj
760|adbrevio|adbrevio, adbreviare, adbreviavi, adbreviatus v
761|adcedenter|adcedenter adv
762|adcedentia|adcedentia, adcedentiae n
763|adcedo|adcedo, adcedere, adcessi, adcessus v
764|adceleratio|adceleratio, adcelerationis n
765|adcelero|adcelero, adcelerare, adceleravi, adceleratus v
766|adcessibilis|adcessibilis, adcessibilis, adcessibile adj
767|adcessibilitas|adcessibilitas, adcessibilitatis n
768|adcessio|adcessio, adcessionis n
769|adcessitio|adcessitio, adcessitionis n
770|adcessitor|adcessitor, adcessitoris n
771|adcessitus|adcessitus, adcessitus n
772|adcessus|adcessus, adcessus n
773|adclamatio|adclamatio, adclamationis n
774|adclamo|adclamo, adclamare, adclamavi, adclamatus v
775|adclaro|adclaro, adclarare, adclaravi, adclaratus v
776|adclinis|adclinis, adclinis, adcline adj
777|adclino|adclino, adclinare, adclinavi, adclinatus v
778|adclive|adclive, adclivis n
779|adclivis|adclivis, adclivis, adclive adj
780|adclivitas|adclivitas, adclivitatis n
781|adclivus|adclivus, adcliva, adclivum adj
782|adcludo|adcludo, adcludere, adclusi, adclusus v
783|adcognosco|adcognosco, adcognoscere, -, - v
784|adcola|adcola, adcolae n
785|adcolens|adcolens, adcolentis n
786|adcolo|adcolo, adcolere, adcolui, adcultus v
787|adcommodate|adcommodate, adcommodatius, adcommodatissime adv
788|adcommodatio|adcommodatio, adcommodationis n
789|adcommodatus|adcommodatus, adcommodata adj
790|adcommodo|adcommodo, adcommodare, adcommodavi, adcommodatus v
791|adcommodus|adcommodus, adcommoda, adcommodum adj
792|adcredo|adcredo, adcredere, adcredidi, adcreditus v
793|adcresco|adcresco, adcrescere, adcrevi, adcretus v
794|adcretio|adcretio, adcretionis n
795|adcretus|adcretus, adcreta, adcretum adj
796|adcubitio|adcubitio, adcubitionis n
797|adcubitorius|adcubitorius, adcubitoria, adcubitorium adj
798|adcubitus|adcubitus, adcubitus n
799|adcubo|adcubo adv
800|adcudo|adcudo, adcudere, -, - v
801|adcumbo|adcumbo, adcumbere, adcumbui, adcumbitus v
802|adcumulate|adcumulate, adcumulatius, adcumulatissime adv
803|adcumulatio|adcumulatio, adcumulationis n
804|adcumulator|adcumulator, adcumulatoris n
805|adcumulo|adcumulo, adcumulare, adcumulavi, adcumulatus v
806|adcurate|adcurate, adcuratius, adcuratissime adv
807|adcuratio|adcuratio, adcurationis n
808|adcuratus|adcuratus, adcurata adj
809|adcuro|adcuro, adcurare, adcuravi, adcuratus v
810|adcurro|adcurro, adcurrere, adcucurri, adcursus v
811|adcurro|adcurro, adcurrere, adcurri, adcursus v
812|adcursus|adcursus, adcursus n
813|addax|addax, addacis n
814|addecet|addecet, addecere, -, - v
815|addecimo|addecimo, addecimare, addecimavi, addecimatus v
816|addendus|addendus, addenda, addendum adj
817|addenseo|addenseo, addensere, -, - v
818|addenso|addenso, addensare, -, - v
819|addico|addico, addicere, addixi, addictus v
820|addicta|addicta, addictae n
821|addictio|addictio, addictionis n
822|addictus|addictus, addicta adj
823|addictus|addictus, addicti n
824|addisco|addisco, addiscere, addidici, - v
825|additamentum|additamentum, additamenti n
826|additicius|additicius, additicia, additicium adj
827|additio|additio, additionis n
828|addititius|addititius, addititia, addititium adj
829|additivus|additivus, additiva, additivum adj
830|addivino|addivino, addivinare, addivinavi, addivinatus v
831|addo|addo, addere, addidi, additus v
832|addoceo|addoceo, addocere, addocui, - v
833|addormio|addormio, addormire, addormivi, addormitus v
834|addormisco|addormisco, addormiscere, -, - v
835|addubito|addubito, addubitare, addubitavi, addubitatus v
836|adduco|adduco, adducere, adduxi, adductus v
837|adducte|adducte, adductius, adductissime adv
838|adductor|adductor, adductoris n
839|adductus|adductus, adducta adj
840|adedo|adedo, adedere, adedi, adesus v
841|adedo|adedo, adesse, -, - v
842|adelphis|adelphis, adelphidis n
843|ademptio|ademptio, ademptionis n
844|ademptor|ademptor, ademptoris n
845|adeo|adeo adv
846|adeo|adeo, adire, adivi(ii), aditus v
847|adeps|adeps, adipis n
848|adeptio|adeptio, adeptionis n
849|adeptus|adeptus, adeptus n
850|adequito|adequito, adequitare, adequitavi, adequitatus v
851|aderator|aderator, aderatoris n
852|aderro|aderro, aderrare, aderravi, aderratus v
853|adesco|adesco, adescare, -, - v
854|adesdum|adesdum v
855|adessurio|adessurio, adessurire, adessurivi, adessuritus v
856|adesurio|adesurio, adesurire, adesurivi, adesuritus v
857|adesus|adesus, adesa, adesum adj
858|adfaber|adfaber, adfabra, adfabrum adj
859|adfabilis|adfabilis, adfabilis, adfabile adj
860|adfabilitas|adfabilitas, adfabilitatis n
861|adfabiliter|adfabiliter, adfabilitius, adfabilitissime adv
862|adfabre|adfabre adv
863|adfabricatus|adfabricatus, adfabricata, adfabricatum adj
864|adfamen|adfamen, adfaminis n
865|adfania|adfania, adfaniae n
866|adfatim|adfatim adv
867|adfatus|adfatus, adfatus n
868|adfectatio|adfectatio, adfectationis n
869|adfectato|adfectato adv
870|adfectator|adfectator, adfectatoris n
871|adfectatus|adfectatus, adfectata, adfectatum adj
872|adfecte|adfecte adv
873|adfectio|adfectio, adfectionis n
874|adfectiose|adfectiose adv
875|adfectiose|adfectiose, adfectiosius, adfectiosissime adv
876|adfectiosus|adfectiosus, adfectiosa adj
877|adfectiosus|adfectiosus, adfectiosa, adfectiosum adj
878|adfecto|adfecto, adfectare, adfectavi, adfectatus v
879|adfector|adfector, adfectari, adfectatus v
880|adfectrix|adfectrix, adfectricis n
881|adfectualis|adfectualis, adfectualis, adfectuale adj
882|adfectuose|adfectuose adv
883|adfectuose|adfectuose, adfectuosius, adfectuosissime adv
884|adfectuosus|adfectuosus, adfectuosa adj
885|adfectuosus|adfectuosus, adfectuosa, adfectuosum adj
886|adfectus|adfectus, adfecta, adfectum adj
887|adfectus|adfectus, adfectus n
888|adfectus|adfectus, adfectus n
889|adfero|adfero, adferre, adtuli, adlatus v
890|adficio|adficio, adficere, adfeci, adfectus v
891|adficticius|adficticius, adficticia, adficticium adj
892|adfigo|adfigo, adfigere, adfixi, adfixus v
893|adfiguro|adfiguro, adfigurare, adfiguravi, adfiguratus v
894|adfingo|adfingo, adfingere, adfinxi, adfictus v
895|adfinis|adfinis, adfinis n
896|adfinis|adfinis, adfinis, adfine adj
897|adfinitas|adfinitas, adfinitatis n
898|adfirmanter|adfirmanter adv
899|adfirmate|adfirmate adv
900|adfirmatio|adfirmatio, adfirmationis n
901|adfirmativus|adfirmativus, adfirmativa, adfirmativum adj
902|adfirmator|adfirmator, adfirmatoris n
903|adfirmo|adfirmo, adfirmare, adfirmavi, adfirmatus v
904|adfixio|adfixio, adfixionis n
905|adfixum|adfixum, adfixi n
906|adfixus|adfixus, adfixa, adfixum adj
907|adflagrans|adflagrans, (gen.), adflagrantis adj
908|adflator|adflator, adflatoris n
909|adflatus|adflatus, adflatus n
910|adflecto|adflecto, adflectare, adflectavi, adflectatus v
911|adfleo|adfleo, adflere, adflevi, adfletus v
912|adflictatio|adflictatio, adflictationis n
913|adflictator|adflictator, adflictatoris n
914|adflictio|adflictio, adflictionis n
915|adflicto|adflicto, adflictare, adflictavi, adflictatus v
916|adflictor|adflictor, adflictoris n
917|adflictrix|adflictrix, (gen.), adflictricis adj
918|adflictrix|adflictrix, adflictricis n
919|adflictus|adflictus, adflicta, adflictum adj
920|adflictus|adflictus, adflictus n
921|adfligo|adfligo, adfligere, adflixi, adflictus v
922|adflo|adflo, adflare, adflavi, adflatus v
923|adfluens|adfluens, adfluentis adj
924|adfluente|adfluente, adfluentius, adfluentissime adv
925|adfluenter|adfluenter, adfluentius, adfluentissime adv
926|adfluentia|adfluentia, adfluentiae n
927|adfluo|adfluo, adfluere, adfluxi, adfluxus v
928|adfodio|adfodio, adfodere, -, - v
929|adfor|adfor, adfari, adfatus v
930|adformido|adformido, adformidare, adformidavi, adformidatus v
931|adfrango|adfrango, adfrangere, -, - v
932|adfremo|adfremo, adfremere, -, - v
933|adfricatio|adfricatio, adfricationis n
934|adfrico|adfrico, adfricare, adfricui, adfricatus v
935|adfrico|adfrico, adfricare, adfricui, adfrictus v
936|adfrictus|adfrictus, adfrictus n
937|adfringo|adfringo, adfringere, -, - v
938|adfrio|adfrio, adfriare, adfriavi, adfriatus v
939|adfulgeo|adfulgeo, adfulgere, adfulsi, - v
940|adfundo|adfundo, adfundere, adfudi, adfusus v
941|adfundor|adfundor, adfundi, adfusus v
942|adfuo|adfuo, adfuere, adfuxi, - v
943|adgaudeo|adgaudeo, adgaudere, -, - v
944|adgemo|adgemo, adgemere, -, - v
945|adgenero|adgenero, adgenerare, adgeneravi, adgeneratus v
946|adgeniculor|adgeniculor, adgeniculari, adgeniculatus v
947|adger|adger, adgeris n
948|adgeratim|adgeratim adv
949|adgeratio|adgeratio, adgerationis n
950|adgero|adgero, adgerare, adgeravi, adgeratus v
951|adgero|adgero, adgerere, adgessi, adgestus v
952|adgestim|adgestim adv
953|adgestio|adgestio, adgestionis n
954|adgestum|adgestum, adgesti n
955|adgestus|adgestus, adgesti n
956|adgestus|adgestus, adgestus n
957|adglomero|adglomero, adglomerare, adglomeravi, adglomeratus v
958|adglutino|adglutino, adglutinare, adglutinavi, adglutinatus v
959|adgnascor|adgnascor, adgnasci, adgnatus v
960|adgnata|adgnata, adgnatae n
961|adgnaticius|adgnaticius, adgnaticia, adgnaticium adj
962|adgnatio|adgnatio, adgnationis n
963|adgnatum|adgnatum, adgnati n
964|adgnatus|adgnatus, adgnata, adgnatum adj
965|adgnatus|adgnatus, adgnati n
966|adgnitio|adgnitio, adgnitionis n
967|adgnitor|adgnitor, adgnitoris n
968|adgnitus|adgnitus, adgnitus n
969|adgnomen|adgnomen, adgnominis n
970|adgnomentum|adgnomentum, adgnomenti n
971|adgnosco|adgnosco, adgnoscere, adgnovi, adgnitus v
972|adgratulor|adgratulor, adgratulari, adgratulatus v
973|adgravesco|adgravesco, adgravescere, -, - v
974|adgravo|adgravo, adgravare, adgravavi, adgravatus v
975|adgredio|adgredio, adgredere, aggressi, adgressus v
976|adgredior|adgredior, adgredi, adgressus v
977|adgrego|adgrego, adgregare, adgregavi, adgregatus v
978|adgressio|adgressio, adgressionis n
979|adgressor|adgressor, adgressoris n
980|adgressura|adgressura, adgressurae n
981|adgressus|adgressus, adgressus n
982|adguberno|adguberno, adgubernare, adgubernavi, adgubernatus v
983|adhaereo|adhaereo, adhaerere, adhaesi, adhaesus v
984|adhaeresco|adhaeresco, adhaerescere, adhaesi, - v
985|adhaese|adhaese adv
986|adhaesio|adhaesio, adhaesionis n
987|adhaesiona|adhaesiona, adhaesionae n
988|adhaesivus|adhaesivus, adhaesiva, adhaesivum adj
989|adhaesus|adhaesus, adhaesus n
990|adhalo|adhalo, adhalare, adhalavi, adhalatus v
991|adhamo|adhamo, adhamare, adhamavi, adhamatus v
992|adhereo|adhereo, adherere, adhesi, adhesus v
993|adheresco|adheresco, adherescere, adhesi, adhesus v
994|adhibeo|adhibeo, adhibere, adhibui, adhibitus v
995|adhibitio|adhibitio, adhibitionis n
996|adhinnio|adhinnio, adhinnire, adhinnivi, adhinnitus v
997|adhoc|adhoc adv
998|adhorreo|adhorreo, adhorrere, adhorrui, - v
999|adhortamen|adhortamen, adhortaminis n
1000|adhortatio|adhortatio, adhortationis n
1001|adhortativus|adhortativus, adhortativa, adhortativum adj
1002|adhortator|adhortator, adhortatoris n
1003|adhortatus|adhortatus, adhortatus n
1004|adhortor|adhortor, adhortari, adhortatus v
1005|adhospito|adhospito, adhospitare, adhospitavi, adhospitatus v
1006|adhuc|adhuc adv
1007|adhucine|adhucine adv
1008|adiantum|adiantum, adianti adv
1009|adiaphoros|adiaphoros, adiaphoros, adisphoron adj
1010|adibilis|adibilis, adibilis, adibile adj
1011|adicio|adicio, adicere, adjeci, adjectus v
1012|adigo|adigo, adigere, adegi, adactus v
1013|adimo|adimo, adimere, ademi, ademptus v
1014|adimplementum|adimplementum, adimplementi n
1015|adimpleo|adimpleo, adimplere, adimplevi, adimpletus v
1016|adimpletio|adimpletio, adimpletionis n
1017|adimpletor|adimpletor, adimpletoris n
1018|adincresco|adincresco, adincrescere, -, - v
1019|adindo|adindo, adindere, -, - v
1020|adinflo|adinflo, adinflare, adinflavi, adinflatus v
1021|adingero|adingero, adingerere, adingessi, adingestus v
1022|adinquiro|adinquiro, adinquirere, adinquisi, adinquisitus v
1023|adinspecto|adinspecto, adinspectare, adinspectavi, adinspectatus v
1024|adinstar|adinstar, undeclined adj
1025|adinvenio|adinvenio, adinvenire, adinveni, adinventus v
1026|adinventio|adinventio, adinventionis n
1027|adinventor|adinventor, adinventoris n
1028|adinventum|adinventum, adinventi n
1029|adinvicem|adinvicem adv
1030|adipatum|adipatum, adipati n
1031|adipatus|adipatus, adipata, adipatum adj
1032|adipeus|adipeus, adipea, adipeum adj
1033|adipiscor|adipiscor, adipisci, adeptus v
1034|adips|adips, adipis n
1035|adipsatheon|adipsatheon, adipsathei n
1036|adipsatheos|adipsatheos, adipsathei n
1037|adipson|adipson, adipsi n
1038|adipsos|adipsos, adipsi n
1039|aditialis|aditialis, aditialis, aditiale adj
1040|aditio|aditio, aditionis n
1041|adito|adito, aditare, aditavi, aditatus v
1042|aditus|aditus, aditus n
1043|adiumentum|adiumentum, adiumenti n
1044|adjacens|adjacens, (gen.), adjacentis adj
1045|adjacens|adjacens, adjacentis n
1046|adjaceo|adjaceo, adjacere, adjacui, adjacitus v
1047|adjaculatus|adjaculatus, adjaculata, adjaculatum adj
1048|adjectamentum|adjectamentum, adjectamenti n
1049|adjecticius|adjecticius, adjecticia, adjecticium adj
1050|adjectio|adjectio, adjectionis n
1051|adjectius|adjectius, adjectia, adjectium adj
1052|adjectivus|adjectivus, adjectiva, adjectivum adj
1053|adjectus|adjectus, adjectus n
1054|adjicio|adjicio, adjicere, -, - v
1055|adjicio|adjicio, adjicere, adjeci, adjectus v
1056|adjudicatio|adjudicatio, adjudicationis n
1057|adjudico|adjudico, adjudicare, adjudicavi, adjudicatus v
1058|adjugo|adjugo, adjugare, adjugavi, adjugatus v
1059|adjunctio|adjunctio, adjunctionis n
1060|adjunctivus|adjunctivus, adjunctiva, adjunctivum adj
1061|adjunctor|adjunctor, adjunctoris n
1062|adjunctum|adjunctum, adjuncti n
1063|adjunctus|adjunctus, adjuncta adj
1064|adjungo|adjungo, adjungere, adjunxi, adjunctus v
1065|adjuramentum|adjuramentum, adjuramenti n
1066|adjuratio|adjuratio, adjurationis n
1067|adjurator|adjurator, adjuratoris n
